BenchmarkTable Execution Times
Loading required package: tcltk
    scenario   magnitude unit weight weighted_magnitude      AllParameters
Info: Saved Barplot in results/hama/hybrid/piestimator/at.illecker.hama.hybrid.examples.piestimator.PiEstimatorHybridBenchmark.2014-08-12T15:53:52Z.CPU.vs.GPU.json_avg_barplot.pdf 
Saving 14 x 14 in image
Info: Saved Boxplot in results/hama/hybrid/piestimator/at.illecker.hama.hybrid.examples.piestimator.PiEstimatorHybridBenchmark.2014-08-12T15:53:52Z.CPU.vs.GPU.json_boxplot.pdf 
BenchmarkTable Average Execution Time grouped by Scenarios
   scenario   n magnitude type
1         1  10 19.730234  CPU
2         2  10  4.777048  GPU
3         3  20 20.344964  CPU
4         4  20  6.065215  GPU
5         5  40 22.113943  CPU
6         6  40  5.949290  GPU
7         7  60 23.334353  CPU
8         8  60  6.059252  GPU
9         9  80 23.974998  CPU
10       10  80  5.965839  GPU
11       11 100 26.098615  CPU
12       12 100  5.966535  GPU
13       13 120 28.455719  CPU
14       14 120  6.870115  GPU
15       15 140 29.605275  CPU
16       16 140  7.156144  GPU
17       17 160 29.792385  CPU
18       18 160  7.956618  GPU
19       19 180 30.420934  CPU
20       20 180  8.081228  GPU
21       21 200 31.247371  CPU
22       22 200  8.025451  GPU
23       23 220 31.646382  CPU
24       24 220  8.047493  GPU
25       25 240 33.362643  CPU
26       26 240  8.010018  GPU
27       27 260 36.764402  CPU
28       28 260  9.777515  GPU
29       29 280 38.083501  CPU
30       30 280  9.981995  GPU
31       31 300 39.259025  CPU
32       32 300  9.951765  GPU
33       33 320 39.503201  CPU
34       34 320  9.868992  GPU
35       35 340 40.871392  CPU
36       36 340  9.960882  GPU
37       37 360 42.679176  CPU
38       38 360 10.365339  GPU
39       39 380 45.290588  CPU
40       40 380 10.350176  GPU
41       41 400 46.156176  CPU
42       42 400 10.329703  GPU
43       43 420 47.728158  CPU
44       44 420 11.684816  GPU
45       45 440 50.043798  CPU
46       46 440 11.560902  GPU
47       47 460 52.011474  CPU
48       48 460 11.982081  GPU
49       49 480 53.796936  CPU
50       50 480 12.087286  GPU
51       51 500 54.009561  CPU
52       52 500 12.073804  GPU
Saving 10.5 x 10.5 in image
Info: Saved CPU+GPU GeomLine Plot in results/hama/hybrid/piestimator/at.illecker.hama.hybrid.examples.piestimator.PiEstimatorHybridBenchmark.2014-08-12T15:53:52Z.CPU.vs.GPU.json_n_cpu_gpu_geom_line.pdf (normalized magnitude 10^9)
CPU function: y = 18.5799278400393 + 0.0696232075622238 * x
GPU function: y = 5.18234012327557 + 0.0144646173333119 * x
Saving 10.5 x 10.5 in image
Info: Saved CPU+GPU GeomLine Plot in results/hama/hybrid/piestimator/at.illecker.hama.hybrid.examples.piestimator.PiEstimatorHybridBenchmark.2014-08-12T15:53:52Z.CPU.vs.GPU.json_n_cpu_gpu_linear_regression.pdf (normalized magnitude 10^9)
